Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
140,4,3,0,Min 09,-68,65,-95,MCS7,57.2,0.901025,-67,65,-95,MCS7,54.1,0.882507,678.11,753.8675263158,850.81,33.4054420667,0
141,5,3,0,Min 00,-68,65,-95,MCS7,56.9,0.904734,-67,65,-95,MCS7,54.9,0.844819,1.5,647.4966457023,891.67,222.6386316995,0.09
142,5,3,0,Min 01,-68,65,-95,MCS7,56.6,0.903369,-67,65,-95,MCS7,54.1,0.848969,76.4,748.1136051502,850.17,65.5759853842,0.01
143,5,3,1,Min 02,-67,65,-95,MCS7,35,0.902875,-67,65,-95,MCS7,35,0.868777,1.62,80.8956,493.36,38.7932574853,0.01
144,5,3,0,Min 03,-67,65,-95,MCS7,57.2,0.91211,-65,65,-95,MCS7,54.1,0.88752,572.98,747.2147071584,845.98,44.5443922787,0
145,5,3,0,Min 04,-66,65,-95,MCS7,55,0.909081,-67,65,-95,MCS7,54.1,0.886475,675.43,757.8114853556,848.77,33.1095647371,0
146,5,3,0,Min 05,-67,65,-95,MCS7,53.1,0.906825,-67,65,-95,MCS7,54.1,0.884835,673.02,758.7814164905,876.85,34.8087967227,0
147,5,3,0,Min 06,-68,65,-95,MCS7,56.9,0.905694,-67,65,-95,MCS7,54.1,0.883998,677.22,758.1850209205,849.05,32.2171912433,0
148,5,3,0,Min 07,-67,65,-95,MCS7,56.9,0.904765,-67,65,-95,MCS7,50,0.883662,150.58,685.5055384615,844.88,195.2621946756,0
149,5,3,1,Min 08,-67,65,-95,MCS7,35,0.904711,-67,65,-95,MCS7,35,0.883835,1.54,202.9484143763,808.5,167.3131423303,0
150,5,3,0,Min 09,-67,65,-95,MCS7,57.2,0.905933,-66,65,-95,MCS7,49.5,0.886723,637.66,761.4532865169,863.82,33.4602023395,0
151,1,4,0,Min 00,-68,65,-95,MCS7,56.9,0.894734,-67,65,-95,MCS7,52.9,0.8806,1.45,652.2489937107,891.03,214.3492298609,0.12
152,1,4,0,Min 01,-67,65,-95,MCS7,56.9,0.899835,-67,65,-95,MCS7,48.9,0.855786,542.6,750.5467634855,948.91,43.9249891389,0
153,1,4,1,Min 02,-67,65,-95,MCS7,54.9,0.902374,-66,65,-95,MCS7,48.9,0.861847,153.69,402.55408,755.71,68.2808785602,0.06
154,1,4,0,Min 03,-67,65,-95,MCS7,56.9,0.901435,-66,65,-95,MCS7,54.1,0.862092,407.77,696.8747589099,850.13,113.6493907591,0
155,1,4,0,Min 04,-67,65,-95,MCS7,55.6,0.900511,-67,65,-95,MCS7,54.1,0.866502,658.97,755.7534151786,876.36,33.9626674596,0
156,1,4,0,Min 05,-68,65,-95,MCS7,56.9,0.899838,-67,65,-95,MCS7,52.9,0.868081,670.63,755.8711946903,836.22,32.3996995218,0
157,1,4,0,Min 06,-67,65,-95,MCS7,56.9,0.900088,-67,65,-95,MCS7,54.9,0.870265,662.14,756.3527835052,851.64,34.7189292005,0
158,1,4,0,Min 07,-67,65,-95,MCS7,52.1,0.90007,-65,65,-95,MCS7,50,0.872849,207.3,728.0311,855.85,100.0715673415,0.03
159,1,4,1,Min 08,-68,65,-95,MCS7,55.2,0.899516,-68,65,-95,MCS7,50.6,0.873429,294.93,420.0413157895,549.79,44.8756549043,0.01
160,1,4,0,Min 09,-67,65,-95,MCS7,55.9,0.899322,-65,65,-95,MCS7,54.1,0.87493,467.69,722.6524456522,833.81,85.079418758,0
161,2,4,0,Min 00,-66,65,-95,MCS7,56.9,0.89168,-66,65,-95,MCS7,54.1,0.848847,1.5,638.7917299578,909.56,236.2367052218,0.06
162,2,4,0,Min 01,-67,65,-95,MCS7,56.9,0.893861,-67,65,-95,MCS7,52.3,0.881112,675.68,757.2404615385,840.28,32.2591180944,0
