@relation Results.Binary.Updated

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
130,-67,65,-95,MCS7,56.9,0.898293,-67,65,-95,MCS7,52.4,0.878263,42.423333,248.9,686.254278,845.63,159.304198,0,0
131,-68,65,-95,MCS7,57.2,0.859914,-67,65,-95,MCS7,54.1,0.888742,44.075862,3.12,631.105237,853.17,238.835867,0.1,0
132,-68,65,-95,MCS7,56.9,0.896533,-68,65,-95,MCS7,52.9,0.884,43.34,682.01,759.00107,860.66,33.386987,0,0
133,-67,65,-95,MCS7,51.4,0.897402,-67,65,-95,MCS7,43.6,0.883896,13.738667,1.62,67.595708,751.56,86.944629,0.04,1
134,-67,65,-95,MCS7,56.7,0.897851,-66,65,-95,MCS7,48.3,0.883947,41.118,323.53,741.55839,855.72,63.165696,0,0
135,-68,65,-95,MCS7,56.9,0.897809,-68,65,-95,MCS7,54.1,0.882518,43.273333,648.84,754.524655,843.99,33.890491,0,0
136,-67,65,-95,MCS7,56.9,0.898189,-67,65,-95,MCS7,54.1,0.882543,43.34,682.9,754.171508,846.28,32.232097,0,0
137,-67,65,-95,MCS7,57.2,0.898482,-67,65,-95,MCS7,54.9,0.881622,43.356667,674.6,757.705553,849.77,31.900627,0,0
138,-69,65,-95,MCS7,56.9,0.899057,-67,65,-95,MCS7,54.9,0.881665,43.306667,51.99,695.829541,854.19,188.865026,0.04,0
139,-68,65,-95,MCS7,35,0.899182,-67,65,-95,MCS7,35,0.881645,-1,1.4,112.159524,739.99,176.688181,0,1
140,-68,65,-95,MCS7,57.2,0.901025,-67,65,-95,MCS7,54.1,0.882507,43.593103,678.11,753.867526,850.81,33.405442,0,0
141,-68,65,-95,MCS7,56.9,0.904734,-67,65,-95,MCS7,54.9,0.844819,43.889655,1.5,647.496646,891.67,222.638632,0.09,0
142,-68,65,-95,MCS7,56.6,0.903369,-67,65,-95,MCS7,54.1,0.848969,43.18,76.4,748.113605,850.17,65.575985,0.01,0
143,-67,65,-95,MCS7,35,0.902875,-67,65,-95,MCS7,35,0.868777,35.699189,1.62,80.8956,493.36,38.793257,0.01,1
144,-67,65,-95,MCS7,57.2,0.91211,-65,65,-95,MCS7,54.1,0.88752,-1,572.98,747.214707,845.98,44.544392,0,0
145,-66,65,-95,MCS7,55,0.909081,-67,65,-95,MCS7,54.1,0.886475,43.34,675.43,757.811485,848.77,33.109565,0,0
146,-67,65,-95,MCS7,53.1,0.906825,-67,65,-95,MCS7,54.1,0.884835,43.266667,673.02,758.781416,876.85,34.808797,0,0
147,-68,65,-95,MCS7,56.9,0.905694,-67,65,-95,MCS7,54.1,0.883998,43.346667,677.22,758.185021,849.05,32.217191,0,0
148,-67,65,-95,MCS7,56.9,0.904765,-67,65,-95,MCS7,50,0.883662,-1,150.58,685.505538,844.88,195.262195,0,0
149,-67,65,-95,MCS7,35,0.904711,-67,65,-95,MCS7,35,0.883835,-1,1.54,202.948414,808.5,167.313142,0,1
150,-67,65,-95,MCS7,57.2,0.905933,-66,65,-95,MCS7,49.5,0.886723,43.405405,637.66,761.453287,863.82,33.460202,0,0
151,-68,65,-95,MCS7,56.9,0.894734,-67,65,-95,MCS7,52.9,0.8806,43.841379,1.45,652.248994,891.03,214.34923,0.12,0
152,-67,65,-95,MCS7,56.9,0.899835,-67,65,-95,MCS7,48.9,0.855786,43.33,542.6,750.546763,948.91,43.924989,0,0
153,-67,65,-95,MCS7,54.9,0.902374,-66,65,-95,MCS7,48.9,0.861847,38.056667,153.69,402.55408,755.71,68.280879,0.06,1
154,-67,65,-95,MCS7,56.9,0.901435,-66,65,-95,MCS7,54.1,0.862092,43.126667,407.77,696.874759,850.13,113.649391,0,0
155,-67,65,-95,MCS7,55.6,0.900511,-67,65,-95,MCS7,54.1,0.866502,43.353333,658.97,755.753415,876.36,33.962667,0,0
156,-68,65,-95,MCS7,56.9,0.899838,-67,65,-95,MCS7,52.9,0.868081,43.403333,670.63,755.871195,836.22,32.3997,0,0
157,-67,65,-95,MCS7,56.9,0.900088,-67,65,-95,MCS7,54.9,0.870265,43.203333,662.14,756.352784,851.64,34.718929,0,0
158,-67,65,-95,MCS7,52.1,0.90007,-65,65,-95,MCS7,50,0.872849,43.303333,207.3,728.0311,855.85,100.071567,0.03,0
159,-68,65,-95,MCS7,55.2,0.899516,-68,65,-95,MCS7,50.6,0.873429,32.446667,294.93,420.041316,549.79,44.875655,0.01,1
160,-67,65,-95,MCS7,55.9,0.899322,-65,65,-95,MCS7,54.1,0.87493,43.426667,467.69,722.652446,833.81,85.079419,0,0
161,-66,65,-95,MCS7,56.9,0.89168,-66,65,-95,MCS7,54.1,0.848847,43.872414,1.5,638.79173,909.56,236.236705,0.06,0
162,-67,65,-95,MCS7,56.9,0.893861,-67,65,-95,MCS7,52.3,0.881112,43.623333,675.68,757.240462,840.28,32.259118,0,0
163,-68,65,-95,MCS7,56.9,0.895135,-68,65,-95,MCS7,52.9,0.884751,28.26,167.91,419.824622,816.71,77.336292,0.06,1
164,-68,65,-95,MCS7,55.2,0.895002,-67,65,-95,MCS7,54.1,0.885188,42.52,337.61,693.041959,875.53,131.644887,0,0
