Test ID,AP_RSSI,AP_Tx_Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,iPerf_Throughput,Client_RSSI,Client_Tx_Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std_Dev,GoPing_Loss,Label
630,-73,54,-95,MCS7,57.2,0.877991,43.59,-65,65,-95,MCS7,53.4,0.859245,655.97,755.9512435233,863.89,34.395321641,0,0
631,-70,54,-95,MCS7,57.2,0.897958,43.910345,-66,65,-95,MCS7,54.1,0.881628,1.55,644.0217303371,853.29,231.0959126996,0.06,0
632,-74,54,-95,MCS7,52.4,0.899748,43.403333,-66,65,-95,MCS7,54.9,0.883274,678.66,759.0695550847,859.04,33.2407007579,0,0
633,-74,54,-95,MCS7,56.9,0.900129,43.376667,-67,65,-95,MCS7,54.1,0.884162,659.37,755.8150310559,837.45,32.6159864547,0,0
634,-72,54,-95,MCS7,45.9,0.849219,30.273333,-67,65,-95,MCS7,40.4,0.868909,728.71,1108.7836695279,1357.64,98.7922024823,0,1
635,-73,54,-95,MCS7,56.9,0.779264,41.7,-68,65,-95,MCS7,43.9,0.860389,288.33,776.99636,1338.89,101.3564902231,0,0
636,-72,54,-95,MCS7,57.2,0.880085,43.443333,-66,65,-95,MCS7,51.1,0.864081,653.97,759.4684318182,855.65,33.759998257,0,0
637,-68,54,-95,MCS7,56.9,0.884046,43.44,-67,65,-95,MCS7,48.3,0.866141,668.87,755.4803893443,958.17,36.3531143959,0,0
638,-73,54,-95,MCS7,43.3,0.748347,30.596667,-67,65,-95,MCS7,37.6,0.775276,829.67,1120.9507743363,1363.09,86.8842021271,0,1
639,-73,54,-95,MCS7,44.8,0.757148,41.316667,-65,65,-95,MCS7,54.1,0.857902,664.67,764.9024481328,1139.46,52.5838830465,0,0
640,-67,54,-95,MCS7,56.9,0.877626,43.353333,-67,65,-95,MCS7,47.4,0.822047,657.75,757.0488571429,846.01,34.306836201,0,0
641,-71,54,-95,MCS7,56.9,0.905388,44.034483,-67,65,-95,MCS7,49.7,0.867285,1.57,653.5070175439,835.92,210.9882661333,0.12,0
642,-69,54,-95,MCS7,56.9,0.899543,43.37,-65,65,-95,MCS7,54.1,0.873197,680.65,758.2789041096,866.8,31.6842707571,0,0
643,-75,54,-95,MCS7,56.9,0.899575,43.216667,-67,65,-95,MCS7,54.1,0.876053,668.5,761.584707113,852.76,33.7582375414,0,0
644,-72,54,-95,MCS7,45.4,0.741051,28.936667,-66,65,-95,MCS7,49.4,0.748393,845.68,1184.0094141414,1450.15,95.5642534446,0,1
645,-73,54,-95,MCS7,47.7,0.757798,41.413333,-67,65,-95,MCS7,54.1,0.805075,666.89,768.4746975806,1234.87,57.3552018473,0,0
646,-73,54,-95,MCS7,56.9,0.878774,43.323333,-68,65,-95,MCS7,54.1,0.859973,676.49,756.8008863636,888.72,33.2449084876,0,0
647,-69,54,-95,MCS7,56.9,0.882262,43.386667,-68,65,-95,MCS7,54.1,0.863992,650.61,766.4051939655,1202.5,62.4302056193,0,0
648,-73,54,-95,MCS7,56.9,0.762825,29.04,-68,65,-95,MCS7,49.8,0.75473,939.64,1183.3904094828,1454.35,94.6859338407,0,1
649,-73,54,-95,MCS7,56.9,0.75325,41.086667,-68,65,-95,MCS7,45.7,0.855289,672.77,759.0040941176,888.91,35.0427788609,0,0
650,-74,54,-95,MCS7,54.3,0.875678,43.443333,-68,65,-95,MCS7,50.3,0.857134,653.6,756.172628866,848.62,32.7123438396,0,0
651,-74,54,-95,MCS7,56.9,0.889702,43.731034,-67,65,-95,MCS7,49.2,0.865627,1.47,636.8482405345,835.61,232.5130059265,0.1,0
652,-67,54,-95,MCS7,56.9,0.897465,43.436667,-67,65,-95,MCS7,52.9,0.877878,646.58,756.1662156448,845.78,34.1453107644,0,0
653,-70,54,-95,MCS7,56.9,0.899694,43.733333,-67,65,-95,MCS7,54.1,0.874207,448.84,751.798231441,908.96,47.0298499484,0,0
654,-72,54,-95,MCS7,52.6,0.892817,38.066667,-66,65,-95,MCS7,48.3,0.869396,693.63,871.2957266811,1015.26,55.2961685799,0,1
655,-73,54,-95,MCS7,56.9,0.88906,42.803333,-66,58.5,-95,MCS6,47.4,0.868247,674.39,762.6333628319,890.52,35.7114311874,0,0
